date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:54	211353/211353	---M-Z	200	added ('OK')	text/html	etag:%2233999-6053ab30b6965-gzip%22	https://mannatthemes.com/robotech/default/forms-img-crop.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-img-crop.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:55	226688/226688	---M-Z	200	added ('OK')	text/html	etag:%2237580-6053ab30b3a84-gzip%22	https://mannatthemes.com/robotech/default/charts-apex.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/charts-apex.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:55	144917/144917	---M-Z	200	added ('OK')	text/html	etag:%2223615-6053ab30b3a84-gzip%22	https://mannatthemes.com/robotech/default/charts-echarts.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/charts-echarts.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:55	144740/144740	---M-Z	200	added ('OK')	text/html	etag:%2223564-6053ab30b4a24-gzip%22	https://mannatthemes.com/robotech/default/charts-justgage.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/charts-justgage.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:56	135555/135555	---M-Z	200	added ('OK')	text/html	etag:%2221183-6053ab30b3a84-gzip%22	https://mannatthemes.com/robotech/default/charts-chartjs.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/charts-chartjs.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:56	206576/206576	---M-Z	200	added ('OK')	text/html	etag:%22326f0-6053ab30b4a24-gzip%22	https://mannatthemes.com/robotech/default/charts-toast-ui.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/charts-toast-ui.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:56	258903/258903	---M-Z	200	added ('OK')	text/html	etag:%223f357-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/tables-basic.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/tables-basic.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:56	181431/181431	---M-Z	200	added ('OK')	text/html	etag:%222c4b7-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/tables-datatable.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/tables-datatable.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:57	117187/117187	---M-Z	200	added ('OK')	text/html	etag:%221c9c3-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/icons-lucide.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/icons-lucide.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:57	594056/594056	---M-Z	200	added ('OK')	text/html	etag:%2291088-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/icons-fontawesome.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/icons-fontawesome.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:57	117256/117256	---M-Z	200	added ('OK')	text/html	etag:%221ca08-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/icons-icofont.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/icons-icofont.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:58	124496/124496	---M-Z	200	added ('OK')	text/html	etag:%221e650-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/maps-google.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/maps-google.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:58	133820/133820	---M-Z	200	added ('OK')	text/html	etag:%2220abc-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/maps-leaflet.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/maps-leaflet.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:58	118025/118025	---M-Z	200	added ('OK')	text/html	etag:%221cd09-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/maps-vector.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/maps-vector.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:58	123118/123118	---M-Z	200	added ('OK')	text/html	etag:%221e0ee-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/email-templates-alert.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/email-templates-alert.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:59	127405/127405	---M-Z	200	added ('OK')	text/html	etag:%221f1ad-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/email-templates-basic.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/email-templates-basic.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:59	132623/132623	---M-Z	200	added ('OK')	text/html	etag:%222060f-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/email-templates-billing.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/email-templates-billing.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:59	131449/131449	---M-Z	200	added ('OK')	text/html	etag:%2220179-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/pages-blogs.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/pages-blogs.html	(from https://mannatthemes.com/robotech/default/index.html)
19:18:00	139769/139769	---M-Z	200	added ('OK')	text/html	etag:%22221f9-6053ab30b9845-gzip%22	https://mannatthemes.com/robotech/default/pages-pricing.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/pages-pricing.html	(from https://mannatthemes.com/robotech/default/index.html)
19:18:00	235270/235270	---M-Z	200	added ('OK')	text/html	etag:%2239706-6053ab30ba7e5-gzip%22	https://mannatthemes.com/robotech/default/pages-profile.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/pages-profile.html	(from https://mannatthemes.com/robotech/default/index.html)
